x,y,z,atencao
[-0.03062876],[0.01234632],[0.10522266],1
[-0.05021764],[-0.00344829],[0.05206432],1
[-0.04414475],[0.00757144],[0.04588152],1
[-0.0391862],[0.01703393],[0.07674838],1
[-0.03136803],[0.01653976],[0.04938307],1
[-0.04829155],[0.01704104],[0.0658137],1
[-0.03059942],[0.01734665],[0.13726971],1
[0.05943366],[0.02207503],[0.56033924],1
[0.05022803],[0.03285979],[0.55577236],1
[-0.02206768],[0.01040987],[0.14897945],1
[0.04921828],[-0.00638868],[-0.49910011],1
[0.09882681],[-0.00208523],[-0.65721116],1
[0.10520559],[-0.00192365],[-0.70799801],1
[0.10466539],[-0.00650925],[-0.70791314],1
[0.04074994],[-0.02905897],[-0.48502831],1
[0.04483318],[-0.0273823],[-0.4543051],1
[-0.01501663],[-0.02612971],[-0.14494067],1
[-0.01240687],[0.00973212],[0.19852909],1
[0.04012066],[0.01360665],[0.47693781],1
[0.07806117],[-0.00271151],[0.64016945],1
[-0.0247843],[0.05246283],[0.06727523],1
[-0.0124444],[0.04552038],[-0.01315251],1
[0.00385066],[0.04239294],[-0.22878532],1
[0.08310094],[0.0540646],[-0.62110935],1
[0.07716104],[0.03467248],[-0.57191864],1
[0.03729926],[0.04117012],[-0.37458374],1
[-0.00707988],[0.02097405],[-0.15576513],1
[-0.00562653],[0.03377903],[0.2311852],1
[0.04576996],[0.04078425],[0.53605688],1
[0.08106144],[0.04923699],[0.5889956],1
[0.03738379],[0.05886045],[0.39877072],1
[0.02089158],[-0.00307763],[-0.16538896],1
[0.02291514],[0.01619019],[-0.37417977],1
[0.06903965],[-0.04665451],[-0.522169],1
[0.10665048],[-0.03762977],[-0.65279932],1
[0.04502816],[-0.04450392],[-0.41025997],1
[0.01899263],[0.01433285],[0.47127186],1
[0.06878057],[0.02445487],[0.66048298],1
[0.01566194],[-0.01132573],[-0.33974167],1
[0.04380529],[-0.02856985],[-0.49358738],1
[-0.0176886],[-0.01891339],[0.34602914],1
[0.05881191],[0.00993498],[0.68933232],1
[0.0574779],[0.02324864],[0.64868416],1
[0.05864139],[0.02816174],[0.65627111],1
[-0.03819093],[0.00579349],[-0.10428902],1
[-0.01861649],[-0.01032083],[-0.25284818],1
[0.04418917],[-0.00614334],[-0.50208083],1
[0.07148478],[0.00342486],[-0.61654735],1
[0.10644092],[0.01453131],[-0.73978979],1
[0.10490136],[0.00449563],[-0.70886777],1
[0.06390413],[0.01312236],[-0.61678993],1
[-0.04401037],[0.01421281],[-0.01373875],1
[0.03468694],[0.04883339],[0.62457631],1
[0.02425351],[0.05427177],[0.55912688],1
[-0.00856605],[0.03697385],[0.4189736],1
[-0.03967541],[0.03347222],[0.31158056],1
[-0.02117628],[0.01409281],[-0.3266409],1
[0.01694083],[-0.00886802],[-0.48727391],1
[0.07764067],[-0.03067727],[-0.60460593],1
[0.07148627],[-0.03280364],[-0.63455115],1
[0.02909461],[0.06188512],[0.64954485],1
[0.02915945],[0.06879924],[0.62191708],1
[-0.00398452],[0.0639966],[0.52138632],1
[-0.02829812],[0.04582132],[0.30425761],1
[0.09056577],[-0.01922284],[-0.69959196],1
[0.2258017],[0.01786132],[0.06330323],0
[0.23875903],[0.01394208],[-0.14220057],0
[0.22154437],[0.03324376],[0.23934567],0
[0.22642007],[0.01010488],[-0.25213351],0
[0.24843394],[0.00883288],[-0.37344135],0
[0.2789284],[0.00249755],[-0.5167867],0
[0.21122209],[0.01958729],[0.04068042],0
[0.28375626],[0.0348723],[0.49034325],0
[0.28375626],[0.0348723],[0.49034325],0
[0.28375626],[0.0348723],[0.49034325],0
[0.28375626],[0.0348723],[0.49034325],0
[0.28375626],[0.0348723],[0.49034325],0
[0.31775634],[0.06837666],[0.59797845],0
[0.29746976],[0.05624352],[0.54697743],0
[0.30253212],[0.04888506],[0.59260606],0
[0.30552885],[0.06758037],[0.5814371],0
[0.23046619],[0.03913848],[-0.10762522],0
[0.30224815],[0.09556031],[0.38050411],0
[0.28751915],[0.07256737],[0.24861423],0
[0.27592828],[0.04195129],[-0.01932285],0
[0.27592828],[0.04195129],[-0.01932285],0
[0.27592828],[0.04195129],[-0.01932285],0
[0.27947715],[0.05252441],[-0.22807948],0
[0.26198938],[0.06364905],[0.21923232],0
[0.32466296],[0.01681511],[-0.45233902],0
[0.30268674],[0.03200028],[-0.29974956],0
[0.33173083],[0.15700327],[0.49731106],0
[0.32226774],[0.14740805],[0.3580217],0
[0.27193889],[0.05313923],[-0.29149071],0
[0.29246014],[-0.05770246],[-0.53301032],0
[0.24629255],[0.02888494],[-0.10378288],0
[0.2850817],[0.12177946],[0.39193404],0
[0.29775322],[0.18288003],[0.4836709],0
[0.26000147],[-0.02537903],[-0.23322997],0
[0.30986231],[0.08913686],[0.33058196],0
[0.35317761],[0.15389315],[0.49854974],0
[0.35807365],[0.14304708],[0.47959923],0
[-0.33258183],[-0.06178423],[0.01827201],0
[-0.28885205],[-0.06480055],[-0.13146523],0
[-0.23723319],[0.07254904],[0.52226882],0
[-0.26040583],[0.02223458],[0.28755696],0
[-0.26746912],[-0.09971758],[-0.35198627],0
[-0.20858969],[0.0724957],[0.57037218],0
[-0.28519151],[0.08240946],[0.51292539],0
[-0.30109471],[-0.10214737],[-0.37562359],0
